MUNICIPIO,CANTIDAD
CALI,247
MEDELLÍN,143
CARTAGENA,83
IBAGUÉ,81
BUCARAMANGA,62
BARRANQUILLA,61
SANTA MARTA,53
VILLAVICENCIO,44
PALMIRA,41
POPAYÁN,37
SOACHA,34
VALLEDUPAR,34
SOLEDAD,32
CÚCUTA,29
ARMENIA,29
PEREIRA,29
BUENAVENTURA,28
BELLO,27
PASTO,25
ITAGUI,23
NEIVA,23
YUMBO,23
MONTERÍA,22
MANIZALES,22
QUIBDO,21
MANÍ,20
SANTANDER DE QUILICHAO,20
FUNDACIÓN,20
YOPAL,17
FLORIDABLANCA,16
MOCOA,16
LA ESTRELLA,15
ARAUCA,15
PUERTO ASÍS,15
COPACABANA,13
MONTELÍBANO,13
MAICAO,12
CANDELARIA,12
GIRARDOTA,11
TULUÁ,11
FLORENCIA,11
JAMUNDÍ,11
SINCELEJO,11
PUERTO GAITÁN,11
PÁCORA,10
TUNJA,10
GIRÓN,10
TUMACO,10
CIÉNAGA,10
TIBÚ,10
RIOHACHA,9
PLATO,9
PUERTO TEJADA,9
AGUACHICA,9
MALAMBO,9
BARRANCABERMEJA,9
SOGAMOSO,9
TURBO,9
TAME,9
FACATATIVÁ,9
CARTAGO,9
APARTADÓ,8
ARGELIA,8
VILLAGARZÓN,8
PITALITO,8
OLAYA HERRERA,8
CALARCA,8
RESTREPO,8
SAN VICENTE DEL CAGUÁN,8
EL BANCO,8
PIEDECUESTA,8
SAN JOSÉ DEL GUAVIARE,8
DOSQUEBRADAS,7
CHAPARRAL,7
LEJANÍAS,7
FLORIDA,7
ENVIGADO,7
MAGANGUÉ,7
PLANADAS,7
TIERRALTA,7
SAN ONOFRE,7
SAN MARTÍN,6
AGUSTÍN CODAZZI,6
SEGOVIA,6
SARAVENA,6
RIOBLANCO,6
MARINILLA,6
MISTRATÓ,6
LOS PATIOS,6
CERETÉ,6
LA DORADA,6
RIONEGRO,6
CAUCASIA,6
FLANDES,6
AGUAZUL,6
GARZÓN,6
ZIPAQUIRÁ,6
EL TAMBO,6
MOMPÓS,6
GUAPI,5
SAHAGÚN,5
DAGUA,5
EL CARMEN DE CHUCURÍ,5
RIOSUCIO,5
LOS ANDES,5
SALGAR,5
SAN ALBERTO,5
VILLA RICA,5
CAMPOALEGRE,5
BUENOS AIRES,5
ARIGUANÍ,5
CARTAGENA DEL CHAIRÁ,5
VILLANUEVA,5
SAN LUIS,5
TARAZÁ,5
DUITAMA,5
LÉRIDA,5
GUADALAJARA DE BUGA,5
SUCRE,5
CURUMANÍ,5
COROZAL,5
VILLA DEL ROSARIO,5
ESPINAL,5
BOLÍVAR,5
RIOFRÍO,5
SAN MARCOS,5
LA TEBAIDA,5
LA ESPERANZA,5
BARBACOAS,4
SUPÍA,4
CUMARAL,4
LA UNIÓN,4
SABANETA,4
LA JAGUA DE IBIRICO,4
LA CUMBRE,4
LA VIRGINIA,4
ROVIRA,4
SAN CARLOS DE GUAROA,4
EL CERRITO,4
CIMITARRA,4
CALDAS,4
SANTIAGO DE TOLÚ,4
MARIQUITA,4
COYAIMA,4
NUQUÍ,4
TÚQUERRES,4
ARJONA,4
PAZ DE ARIPORO,4
BARBOSA,4
CORINTO,4
CALDONO,4
POTOSÍ,4
LEBRÍJA,4
CARMEN DE APICALÁ,4
ISTMINA,4
PAEZ,4
SANTAFÉ DE ANTIOQUIA,4
MOSQUERA,4
SAN AGUSTÍN,4
EL PASO,4
SANDONÁ,4
CUNDAY,4
PUERTO CAICEDO,4
HONDA,4
MESETAS,4
PUERTO SALGAR,3
ZONA BANANERA,3
ALVARADO,3
LORICA,3
PELAYA,3
PUERTO COLOMBIA,3
PALESTINA,3
SABANALARGA,3
SITIONUEVO,3
OCANA,3
GUAMAL,3
SAN JUAN DEL CESAR,3
SAN LUIS DE SINCÉ,3
LA PAZ,3
RETIRO,3
CHÍA,3
GUAMO,3
PUERTO WILCHES,3
ANDALUCÍA,3
IPIALES,3
PUERTO BOYACÁ,3
COLÓN,3
YARUMAL,3
PUERTO BERRÍO,3
ATRATO,3
ACEVEDO,3
QUIMBAYA,3
ROBERTO PAYÁN,3
EL TABLÓN DE GÓMEZ,3
ISNOS,3
SAN MIGUEL,3
SAMPUÉS,3
OBANDO,3
VILLA DE SAN DIEGO DE UBATE,3
EL CARMEN DE VIBORAL,3
YOLOMBÓ,3
FUENTE DE ORO,3
BOSCONIA,3
GUARNE,3
ARAUQUITA,3
PAZ DE RÍO,3
CHINCHINÁ,3
INZÁ,3
MIRANDA,3
SAN SEBASTIÁN DE BUENAVISTA,3
TELLO,3
FUSAGASUGÁ,3
LANDÁZURI,3
POLICARPA,3
PUERTO LÓPEZ,3
LÓPEZ,3
GUADALUPE,3
TRINIDAD,3
NATAGAIMA,3
ACACÍAS,3
CALAMAR,3
BARRANCA DE UPÍA,3
MARÍA LA BAJA,3
RIVERA,3
LA MESA,3
EL ROSAL,3
LURUACO,3
SAN FRANCISCO,3
CANALETE,3
GRANADA,3
EL COLEGIO,3
CANTAGALLO,3
PEQUE,3
BELÉN DE UMBRÍA,3
EL TARRA,3
SAMANIEGO,3
SABANA DE TORRES,3
PUERTO LIBERTADOR,3
EL CARMEN DE BOLÍVAR,3
LA VICTORIA,3
YONDÓ,3
PRADERA,3
ALCALÁ,3
SUESCA,3
SAN PABLO,3
EL RETORNO,3
MONTENEGRO,3
FRESNO,3
CAJICÁ,2
TOPAIPÍ,2
TANGUA,2
ZARZAL,2
SAN GIL,2
NEIRA,2
SAN BERNARDO DEL VIENTO,2
TIMBIQUÍ,2
PUERTO GUZMÁN,2
LA VEGA,2
SUAZA,2
TORO,2
PUENTE NACIONAL,2
JERICÓ,2
ANDES,2
SANTA ROSA,2
YACOPÍ,2
MEDIO SAN JUAN,2
BAJO BAUDÓ,2
LLORÓ,2
SAN VICENTE,2
SARDINATA,2
ALMAGUER,2
BELÉN DE LOS ANDAQUIES,2
MERCADERES,2
